stableId,displayName,age,kind,slot,role,productionCost,goldCost,basePowerBudget,powerClass,targeted,tradeoffs,reviewStatus
projectile.bronze.arrow,Bronze Arrow,BronzeAge,Projectile,Ammunition,ammunition contribution,14,24,0.12,standard,False,,Requires Unity simulation
equipment.bronze.axe,Bronze Axe,BronzeAge,Equipment,Weapon,general purpose equipment,40,70,0.2,standard,False,,Requires Unity simulation
equipment.bronze.breastplate,Bronze Breastplate,BronzeAge,Equipment,Body,durability,40,70,0.2,standard,False,,Requires Unity simulation
equipment.bronze.curved.sword,Bronze Curved Sword,BronzeAge,Equipment,Weapon,general purpose equipment,40,70,0.2,standard,False,,Requires Unity simulation
equipment.bronze.helmet,Bronze Helmet,BronzeAge,Equipment,Head,minor durability,40,70,0.2,standard,False,,Requires Unity simulation
equipment.bronze.lance,Bronze Lance,BronzeAge,Equipment,Weapon,general purpose equipment,40,70,0.2,standard,False,,Requires Unity simulation
equipment.bronze.mace,Bronze Mace,BronzeAge,Equipment,Weapon,armor-breaking melee weapon,40,70,0.2,specialized,True,,Requires Unity simulation
projectile.bronze.poison.arrow,Bronze Poison Arrow,BronzeAge,Projectile,Ammunition,damage-over-time ammunition,14,24,0.12,specialized,False,,Requires Unity simulation
equipment.bronze.shield,Bronze Shield,BronzeAge,Equipment,Shield,general and ranged protection,40,70,0.2,standard,False,,Requires Unity simulation
equipment.bronze.spear,Bronze Spear,BronzeAge,Equipment,Weapon,anti-cavalry specialization,40,70,0.2,specialized,True,,Requires Unity simulation
equipment.bronze.sword,Bronze Sword,BronzeAge,Equipment,Weapon,general purpose equipment,40,70,0.2,standard,False,,Requires Unity simulation
equipment.bronze.two.handed.axe,Bronze Two-Handed Axe,BronzeAge,Equipment,Weapon,general purpose equipment,40,70,0.2,standard,False,,Requires Unity simulation
equipment.bronze.war.standard,Bronze War Standard,BronzeAge,Equipment,Miscellaneous,friendly morale aura,40,70,0.2,standard,False,,Requires Unity simulation
equipment.bronze.warhammer,Bronze Warhammer,BronzeAge,Equipment,Weapon,armor-breaking melee weapon,40,70,0.2,specialized,True,,Requires Unity simulation
projectile.flaming.arrow,Flaming Arrow,BronzeAge,Projectile,Ammunition,incendiary ammunition,14,24,0.12,specialized,False,,Requires Unity simulation
equipment.leather.breastplate,Leather Breastplate,BronzeAge,Equipment,Body,durability,40,70,0.2,standard,False,,Requires Unity simulation
equipment.leather.shield,Leather Shield,BronzeAge,Equipment,Shield,general and ranged protection,40,70,0.2,standard,False,,Requires Unity simulation
projectile.bodkin.arrows,Bodkin Arrows,CastleAge,Projectile,Ammunition,narrow armor penetration,28,49,0.12,specialized,True,,Requires Unity simulation
equipment.great.helm,Great Helm,CastleAge,Equipment,Head,minor durability,80,140,0.2,standard,False,,Requires Unity simulation
